"term","coef","is_year"
"read",0.227157840731728,FALSE
"literally",0.184791981710671,FALSE
"comment",0.152128815290906,FALSE
"said",0.132909622097346,FALSE
"shit",0.132578147949586,FALSE
"answer",0.11645741018072,FALSE
"please",0.100511835096887,FALSE
"talking",0.0851163087910792,FALSE
"arguments",0.0833873780458002,FALSE
"right..1",0.0810042591288033,FALSE
"year2020",0.0796665041652013,TRUE
"provide",0.07820975737767,FALSE
"words",0.0764785873299923,FALSE
"wrong.",0.0588770121702543,FALSE
"discussion",0.0564202942596828,FALSE
"logic",0.0526870168046354,FALSE
"year2021",0.0523761295440103,TRUE
"argument.",0.0492856886879958,FALSE
"post",0.0475284926919177,FALSE
"fucking",0.0457419232604022,FALSE
"year2022",0.0428949197213958,TRUE
"year2019",0.0424036120386743,TRUE
"X.re",0.0387190604491475,FALSE
"know",0.038423340512873,FALSE
"claim",0.0355926945269415,FALSE
"evidence",0.033116638400153,FALSE
"yeah.",0.0263690136735596,FALSE
"trying",0.0262783107898465,FALSE
"prove",0.0153993069684905,FALSE
"fact",0.0116604703978563,FALSE
"fuck",0.0107764719448679,FALSE
"year2018",0.010554778567852,TRUE
"clearly",0.00581916125841142,FALSE
"entire",0.00523235042961968,FALSE
"argument",0.00337884806739755,FALSE
"research",0.00274333797364566,FALSE
"asked",0.00235425238649797,FALSE
"calling",0.00171153396993102,FALSE
"try",0.000845120133075086,FALSE
"comes",-0.000219973821938756,FALSE
"become",-0.00181008166197027,FALSE
"etc.",-0.00257555658030051,FALSE
"feel",-0.00332240380911732,FALSE
"social",-0.00581682903603503,FALSE
"way",-0.00591614981813231,FALSE
"probably",-0.00705131063198306,FALSE
"people",-0.00755391170457881,FALSE
"similar",-0.00762885359262568,FALSE
"coming",-0.00848602257725068,FALSE
"might",-0.0133426725923349,FALSE
"think",-0.0147273579653099,FALSE
"year2017",-0.0153471377781901,TRUE
"many",-0.025613445768333,FALSE
"issue",-0.0303275428385827,FALSE
"fair",-0.0305951460776396,FALSE
"year2016",-0.0309753145348971,TRUE
"may",-0.0513314205970513,FALSE
"however.",-0.0652802422477811,FALSE
"lot",-0.0687857310822874,FALSE
"agree",-0.0894456482840041,FALSE
"example.",-0.0903576413281942,FALSE
"necessarily",-0.121962191353372,FALSE
