"term","coef","is_year"
"lol",0.35632242309186,FALSE
"irrelevant",0.234366749184074,FALSE
"sorry",0.223027401375831,FALSE
"read",0.22292609345584,FALSE
"literally",0.176576045816964,FALSE
"comment",0.144171165644718,FALSE
"shit",0.127615730552771,FALSE
"said",0.126598629143756,FALSE
"said.",0.122647615609572,FALSE
"answer",0.114410624753998,FALSE
"please",0.0965633052015954,FALSE
"admit",0.0955049308895492,FALSE
"talking",0.0804155684174653,FALSE
"provide",0.07860907712991,FALSE
"year2020",0.0785003267073244,TRUE
"arguments",0.0779938956060654,FALSE
"words",0.0742767188266383,FALSE
"right..2",0.0721525503676913,FALSE
"wrong.",0.0559810042468937,FALSE
"discussion",0.0526657734377541,FALSE
"year2021",0.0513713673539292,TRUE
"logic",0.0466146646672551,FALSE
"post",0.0450636730089651,FALSE
"fucking",0.0446269757726213,FALSE
"year2022",0.0420440272616716,TRUE
"year2019",0.0409149190657521,TRUE
"argument.",0.0373482699065338,FALSE
"X.re",0.0352595134005787,FALSE
"know",0.0350750216257409,FALSE
"evidence",0.0313595170501913,FALSE
"claim",0.0294395674969918,FALSE
"trying",0.0231598595140622,FALSE
"yeah.",0.0189521524740094,FALSE
"prove",0.0153251904577441,FALSE
"article",0.0138554184545613,FALSE
"year2018",0.0110691888762506,TRUE
"fuck",0.00655833871534467,FALSE
"clearly",0.00624982443176728,FALSE
"fact",0.00559565385440693,FALSE
"research",0.00152108000360378,FALSE
"argument",0.00121040412223018,FALSE
"calling",0.000990572419305683,FALSE
"zero",0.000917899849470416,FALSE
"entire",0.000713829493187272,FALSE
"often",-0.000684052474054401,FALSE
"comes",-0.00112733929855404,FALSE
"become",-0.00151083363635546,FALSE
"etc.",-0.00478848358698087,FALSE
"social",-0.00742184953506176,FALSE
"way",-0.00743096458602626,FALSE
"people",-0.00802196135735942,FALSE
"similar",-0.00933775993544304,FALSE
"feel",-0.0103572473451345,FALSE
"probably",-0.0127909994442839,FALSE
"might",-0.0145571004264008,FALSE
"year2017",-0.0164115514589805,TRUE
"think",-0.0179666415889854,FALSE
"many",-0.027476540984757,FALSE
"issue",-0.0300337549875403,FALSE
"year2016",-0.0308212566286848,TRUE
"may",-0.0525324909849622,FALSE
"however.",-0.0673358052956041,FALSE
"lot",-0.0691548154948418,FALSE
"example.",-0.0887129392741488,FALSE
"agree",-0.0925463225110054,FALSE
