"term","coef","is_year"
"lol",0.304903705346065,FALSE
"nonsens",0.265054963169904,FALSE
"repeat.",0.218404664768859,FALSE
"sorri",0.197447370743415,FALSE
"dude",0.173478784741531,FALSE
"irrelev",0.151779155670889,FALSE
"pleas",0.148527369499925,FALSE
"read",0.14537897502679,FALSE
"liter",0.123147087545093,FALSE
"respond",0.119719147511894,FALSE
"shit",0.110328322483157,FALSE
"comment",0.108490999864666,FALSE
"repli",0.10817095078513,FALSE
"bullshit",0.089395185657687,FALSE
"said",0.0861839151559091,FALSE
"admit",0.0847174995172676,FALSE
"thread",0.0797247693466691,FALSE
"year2020",0.0787531784059299,TRUE
"argument",0.0711516760161183,FALSE
"answer",0.059928258113319,FALSE
"cite",0.0594878940116375,FALSE
"fuck",0.052722493402821,FALSE
"yeah",0.0522738372194929,FALSE
"prove",0.0497824981055717,FALSE
"year2021",0.0495476864201229,TRUE
"year2022",0.0419137646687071,TRUE
"yes",0.0404377250979578,FALSE
"year2019",0.0402132340940714,TRUE
"sourc",0.0379485165135649,FALSE
"evid",0.0364915110365474,FALSE
"discuss",0.0358099138044655,FALSE
"claim",0.0348125162228266,FALSE
"tri",0.0304536263423925,FALSE
"post",0.028664997954113,FALSE
"X.re",0.0216587370677064,FALSE
"talk",0.0196498472143787,FALSE
"word",0.016789758651576,FALSE
"provid",0.0159029970260592,FALSE
"insult",0.0117235390221841,FALSE
"logic",0.00966597950625205,FALSE
"year2018",0.00856571596327774,TRUE
"fact",0.00812135060818049,FALSE
"random",0.00705946664803908,FALSE
"scienc",0.00492378905088716,FALSE
"know",0.00364973009825132,FALSE
"cmv",0.00328198460863287,FALSE
"research",0.00283277451686811,FALSE
"peopl",-0.00189840607356349,FALSE
"femal",-0.00224086053713473,FALSE
"focus",-0.00798825708006545,FALSE
"reason",-0.00957437501340586,FALSE
"probabl",-0.0108121469492347,FALSE
"edit",-0.0112425159450857,FALSE
"think",-0.0115019281158494,FALSE
"way",-0.0129801602518943,FALSE
"often",-0.0131228688871765,FALSE
"case",-0.0164768870529799,FALSE
"come",-0.0177977695804044,FALSE
"fair",-0.0178391295144177,FALSE
"year2017",-0.0195864136467734,TRUE
"issu",-0.0214633342025564,FALSE
"general",-0.0230335752279548,FALSE
"allow",-0.0302821113655455,FALSE
"mani",-0.0304980989229968,FALSE
"year2016",-0.0344917498921213,TRUE
"strong",-0.0384065762753587,FALSE
"may",-0.045943370502613,FALSE
"though",-0.0468806527840581,FALSE
"becom",-0.0562171516050443,FALSE
"agre",-0.0619421176867156,FALSE
"etc",-0.062352939933751,FALSE
"exampl",-0.0736645617023344,FALSE
"lot",-0.0737864142168003,FALSE
"howev",-0.10701967660338,FALSE
