"term","coef","is_year"
"lol",0.319151356311788,FALSE
"sorry",0.216891549804646,FALSE
"please",0.190599958489055,FALSE
"read",0.168073043167563,FALSE
"literally",0.160275126871635,FALSE
"comment",0.151110398218799,FALSE
"irrelevant",0.146733041067489,FALSE
"arguments",0.137904964252322,FALSE
"shit",0.109124987509055,FALSE
"discussion",0.105358006791259,FALSE
"said",0.0984985656847293,FALSE
"year2020",0.0802832844036609,TRUE
"conversation",0.073432984589502,FALSE
"talking",0.0725295232554945,FALSE
"yeah",0.0723093832703877,FALSE
"provide",0.0678509225359889,FALSE
"answer",0.0602159835189369,FALSE
"claim",0.055443654981187,FALSE
"words",0.0529328864778198,FALSE
"year2021",0.051000838860155,TRUE
"fucking",0.0475975533016164,FALSE
"evidence",0.0459511338451399,FALSE
"year2022",0.0419843635579073,TRUE
"yes",0.0415649961534932,FALSE
"year2019",0.0410582607250123,TRUE
"argument",0.0393975926066754,FALSE
"fact",0.0347765058515338,FALSE
"know",0.0295223513503377,FALSE
"asked",0.020481577771012,FALSE
"clearly",0.0196197210311969,FALSE
"source",0.0157500590489223,FALSE
"science",0.0155380745007704,FALSE
"logic",0.0147502324901804,FALSE
"research",0.0146021769091568,FALSE
"trying",0.00972134222239744,FALSE
"post",0.00763941281729611,FALSE
"year2018",0.00712225678299539,TRUE
"calling",0.00395118500193919,FALSE
"comes",-0.00105931580290418,FALSE
"feel",-0.00129689532983379,FALSE
"way",-0.00223067916164839,FALSE
"people",-0.00538602493638384,FALSE
"reasonable",-0.00692865899652942,FALSE
"coming",-0.0112956862750919,FALSE
"often",-0.0119049563816207,FALSE
"think",-0.0142794061887717,FALSE
"probably",-0.0157418931227207,FALSE
"year2017",-0.0187381423261501,TRUE
"issue",-0.0214084884435318,FALSE
"edit",-0.0266210935463991,FALSE
"similar",-0.0269136731842609,FALSE
"general",-0.0269291828296903,FALSE
"many",-0.0322030204427714,FALSE
"year2016",-0.0326654344030176,TRUE
"may",-0.0490389099811502,FALSE
"though",-0.052110365244074,FALSE
"lot",-0.0632663389138382,FALSE
"etc",-0.0668689592081279,FALSE
"fair",-0.0719572209973282,FALSE
"agree",-0.0878017814034278,FALSE
"example",-0.0905562345388795,FALSE
"however",-0.0968133767552771,FALSE
"necessarily",-0.143839295503616,FALSE
