"term","lasso_coef","relaxed_estimate","relaxed_p"
"lol",0.316346802744441,0.432163211167766,2.35333213766462e-11
"dude",0.21374769830498,0.361991700862467,1.36350642273475e-06
"sorry",0.213135700222161,0.303652566427991,1.78302163094228e-06
"please",0.185289926884523,0.215783500592714,9.13947307187097e-05
"read",0.165434032657009,0.174449329264779,1.64417230402664e-05
"literally",0.156041045602341,0.166230809284541,5.35353260661277e-06
"irrelevant",0.146480581726582,0.248326860892825,0.000736659114566778
"comment",0.14388025886116,0.179742137667816,0.000274116195650693
"arguments",0.130476943142678,0.159423574013121,0.00431582694199959
"bullshit",0.129689004899351,0.251314062866001,0.00085108126525649
"thread",0.12941650905629,0.253807915032893,0.00190035295954512
"shit",0.101628579559603,0.140135236931502,0.00219046071784518
"discussion",0.100309891323091,0.135060597514168,0.00904787406172033
"said",0.0937896059212477,0.058268010830386,0.0149503348353733
"stated",0.0854852243200701,0.217736445837837,0.00440913737169725
"conversation",0.071854105263789,0.144204255285627,0.0214798807016192
"talking",0.0691666552854076,0.0805865247693545,0.0163627876653566
"admit",0.0661965566311638,0.226330566217518,0.0120558180724077
"yeah",0.0658692616061134,0.143309363489088,0.00690816503356045
"provide",0.0653840245460971,0.116301197256725,0.0390127323051373
"answer",0.0583260534310925,0.126994152455623,0.0112602280382814
"claim",0.0533506270792501,0.0676265389218938,0.080731665671611
"words",0.0511437450896308,0.106240400565161,0.0183750962531249
"evidence",0.043475783521309,0.0533328801660562,0.0682149833541894
"respond",0.0422219649244061,0.171965585097122,0.0435987579984599
