"term","estimate","std.error","statistic","p.value"
"lol",0.439387933524135,0.0646147879973438,6.80011414015933,1.04536295336657e-11
"sorry",0.316094948512641,0.0634330104139398,4.98313017859195,6.25638285226379e-07
"irrelevant",0.256714738743992,0.073264125324675,3.50396237730735,0.000458390114085657
"please",0.234543970524046,0.0548564992797854,4.27559129006388,1.90630665460408e-05
"comment",0.206162378862757,0.0489693878085444,4.21002565253195,2.55341694321459e-05
"read",0.181607699817889,0.0403063487693544,4.50568472121117,6.61592568284497e-06
"arguments",0.179816731054934,0.0555520655710724,3.23690450042545,0.00120833841699169
"literally",0.177576144301405,0.0363413229491807,4.88634232027616,1.02726526590506e-06
"yeah",0.158714459103483,0.0530666004819709,2.99085409018061,0.00278198386443931
"shit",0.157262091627237,0.0454528923496949,3.45989184620707,0.000540392389642459
"conversation",0.155432350190534,0.0624392459881398,2.48933739879015,0.0127981445740574
"discussion",0.151686268010452,0.0514113228221504,2.95044475971153,0.00317316781553379
"answer",0.133273404113832,0.04995276420654,2.66798857342079,0.00763068532319302
"asked",0.131208396991817,0.0700521895324232,1.87300922166162,0.0610671115920923
"provide",0.124668087286842,0.0560153934869965,2.22560406213664,0.0260407138707294
"words",0.107958330895962,0.0449698927480726,2.40068019509762,0.0163646314053893
"logic",0.107725615969507,0.0557477600173897,1.93237568533522,0.0533131528950619
"fucking",0.100632735167714,0.0441209605716519,2.28083735856765,0.022558072819143
"calling",0.098072932072728,0.0599641128947638,1.63552710676875,0.101938597024097
"science",0.0905778514651333,0.0409214808692309,2.21345487849242,0.0268663007615416
"clearly",0.0905373995416813,0.0535072153040854,1.69205964143622,0.0906346025054184
"source",0.0894485796295486,0.0448486747605592,1.99445312725743,0.0461025575264379
"talking",0.088310348855651,0.0334437660631901,2.64056233047419,0.0082768566087081
"research",0.0846248034577387,0.0525852248580271,1.60928861074977,0.107553248308376
"claim",0.0734965795309332,0.0384674640192761,1.91061670959396,0.0560538554257345
"said",0.0682335588829816,0.0238326044078052,2.86303409041754,0.00419605414606858
"evidence",0.0594062338738538,0.0290690406512219,2.0436255391647,0.0409905542776239
"yes",0.0581775343668779,0.0340958298106676,1.70629471961629,0.0879532207324262
"post",0.0504304259893319,0.0379328713115259,1.32946503245613,0.18369459481423
"argument",0.036009854176421,0.0244272412145257,1.47416787103276,0.140436398132887
"fact",0.0230211620134836,0.0305617040536235,0.753268272380712,0.451288720450182
"trying",0.0186052778803976,0.0367961604631628,0.505630958399142,0.613115744298193
"know",0.00968963810423646,0.0210802737020679,0.459654283487123,0.645764388828126
