"term","lasso_coef","relaxed_estimate","relaxed_p"
"lol",0.316346802744441,0.431947999091031,2.41172473542352e-11
"dude",0.21374769830498,0.361851540238042,1.37797656601551e-06
"sorry",0.213135700222161,0.30344878260733,1.81397757057592e-06
"please",0.185289926884523,0.215717001814552,9.19304111693591e-05
"read",0.165434032657009,0.174125340596197,1.71143380682346e-05
"literally",0.156041045602341,0.166181019962891,5.38942330448375e-06
"irrelevant",0.146480581726582,0.24827504303454,0.000739054091385684
"comment",0.14388025886116,0.179915566216943,0.000270443792674561
"arguments",0.130476943142678,0.159117275087365,0.00442706122062033
"bullshit",0.129689004899351,0.250753560696525,0.000874696658677229
"thread",0.12941650905629,0.25384779478481,0.00189645245443948
"years.ago",0.127935979098508,NA,NA
"shit",0.101628579559603,0.139736165322666,0.00226416464382331
"discussion",0.100309891323091,0.135125023605033,0.00901630089338841
"said",0.0937896059212477,0.0581579361848701,0.0151542601342986
"stated",0.0854852243200701,0.217593187452618,0.00443778529737732
"conversation",0.071854105263789,0.144299073648735,0.0213918642630579
"talking",0.0691666552854076,0.0803192278821159,0.0167505779143744
"admit",0.0661965566311638,0.225666656372302,0.0123150961411867
"yeah",0.0658692616061134,0.143211763273772,0.00695151204162355
"provide",0.0653840245460971,0.116236402629371,0.0391328728744965
"answer",0.0583260534310925,0.126808738627482,0.011385731636109
"claim",0.0533506270792501,0.067687858181636,0.0804312106438216
"words",0.0511437450896308,0.106164013133313,0.0184616626907227
"evidence",0.043475783521309,0.0532748886697758,0.0685453130505616
